Date,Open,High,Low,Close,Adj Close,Volume
2017-03-20,51.369999,51.490002,49.090000,50.330002,50.330002,1098400
2017-03-21,50.480000,51.970001,48.060001,48.230000,48.230000,1315000
2017-03-22,48.020000,53.090000,47.060001,52.630001,52.630001,2207300
2017-03-23,52.900002,53.150002,50.910000,51.509998,51.509998,1399500
2017-03-24,51.779999,55.719002,51.779999,55.020000,55.020000,2127600
2017-03-27,53.840000,60.189999,52.570000,59.880001,59.880001,3697700
2017-03-28,60.020000,60.090000,57.119999,58.560001,58.560001,2109400
2017-03-29,59.180000,59.417999,57.500000,58.020000,58.020000,1129300
2017-03-30,58.070000,58.536999,53.279999,55.349998,55.349998,2586100
2017-03-31,55.349998,56.540001,54.171001,56.150002,56.150002,2467500
2017-04-03,56.919998,57.900002,53.169998,53.470001,53.470001,1627400
2017-04-04,53.209999,53.900002,50.560001,51.189999,51.189999,1896700
2017-04-05,51.299999,51.549999,44.540001,44.680000,44.680000,6126900
2017-04-06,44.759998,47.709999,44.599998,46.310001,46.310001,2988700
2017-04-07,46.000000,47.138000,44.020000,44.680000,44.680000,1867700
2017-04-10,45.320000,46.099998,43.700001,44.459999,44.459999,1386300
2017-04-11,44.430000,44.700001,41.790001,42.380001,42.380001,1960500
2017-04-12,42.040001,42.488998,40.279999,40.820000,40.820000,2503000
2017-04-13,49.849998,50.000000,44.639999,45.299999,45.299999,13208400
2017-04-17,45.509998,46.368999,43.189999,43.330002,43.330002,3987100
2017-04-18,42.599998,44.650002,42.430000,44.200001,44.200001,2232900
2017-04-19,44.340000,44.898998,43.080002,43.730000,43.730000,1678300
2017-04-20,43.930000,44.349998,43.500000,44.310001,44.310001,972600
2017-04-21,45.860001,47.139999,44.750000,45.540001,45.540001,4223900
2017-04-24,46.830002,48.889999,45.830002,48.779999,48.779999,6052100
2017-04-25,48.209999,49.849998,47.740002,49.400002,49.400002,3409800
2017-04-26,49.450001,49.840000,46.750000,47.470001,47.470001,3035300
2017-04-27,47.849998,49.830002,46.919998,49.360001,49.360001,2356200
2017-04-28,48.840000,49.799999,48.200001,49.389999,49.389999,1383200
2017-05-01,50.250000,52.099998,49.330002,50.130001,50.130001,3243700
2017-05-02,49.980000,50.299999,46.270000,47.299999,47.299999,2694000
2017-05-03,45.990002,46.919998,45.009998,46.470001,46.470001,2121300
2017-05-04,47.299999,48.750000,46.340000,46.810001,46.810001,2998200
2017-05-05,51.529999,56.299999,48.500000,55.959999,55.959999,10854900
2017-05-08,57.150002,60.000000,56.549999,57.389999,57.389999,5314600
2017-05-09,57.750000,62.639999,56.009998,62.110001,62.110001,5046800
2017-05-10,61.810001,65.000000,61.360001,64.970001,64.970001,3932300
2017-05-11,64.050003,65.330002,62.080002,64.230003,64.230003,3543900
2017-05-12,64.239998,67.010002,63.215000,65.449997,65.449997,3004300
2017-05-15,65.800003,66.400002,63.250000,64.010002,64.010002,3112500
2017-05-16,64.110001,65.239998,62.529999,64.970001,64.970001,2528000
2017-05-17,63.040001,64.000000,60.099998,61.380001,61.380001,3507000
2017-05-18,60.060001,65.300003,58.959999,63.980000,63.980000,3947300
2017-05-19,64.739998,65.930000,63.500000,63.540001,63.540001,2271300
2017-05-22,66.000000,71.339996,65.800003,71.239998,71.239998,6771200
2017-05-23,71.599998,71.699997,67.059998,69.150002,69.150002,3771600
2017-05-24,68.250000,70.230003,67.860001,68.629997,68.629997,2010100
2017-05-25,68.800003,69.889999,66.300003,67.879997,67.879997,2555900
2017-05-26,67.370003,72.949997,67.115997,71.510002,71.510002,3885000
2017-05-30,71.199997,71.809998,69.110001,70.480003,70.480003,2283700
2017-05-31,71.070000,71.650002,68.720001,69.820000,69.820000,2395600
2017-06-01,70.050003,71.360001,69.440002,70.010002,70.010002,1857300
2017-06-02,72.050003,74.730003,71.760002,74.680000,74.680000,3986800
2017-06-05,74.959999,75.000000,71.800003,72.440002,72.440002,2754700
2017-06-06,71.349998,75.589996,70.500000,73.410004,73.410004,2964600
2017-06-07,73.300003,73.870003,70.029999,71.480003,71.480003,2756500
2017-06-08,71.730003,73.169998,70.709999,73.139999,73.139999,2063600
2017-06-09,73.889999,74.000000,62.040001,64.709999,64.709999,5292300
2017-06-12,63.520000,66.889999,60.020000,64.610001,64.610001,4931200
2017-06-13,66.709999,67.848000,63.250000,63.849998,63.849998,3186000
2017-06-14,64.000000,64.900002,59.610001,60.950001,60.950001,3749400
2017-06-15,58.250000,62.990002,57.549999,62.230000,62.230000,4006600
2017-06-16,62.230000,63.150002,60.099998,62.880001,62.880001,2978300
2017-06-19,63.299999,65.230003,62.291000,63.200001,63.200001,2596600
2017-06-20,63.230000,63.750000,60.889999,61.080002,61.080002,2002100
2017-06-21,61.099998,64.300003,61.090000,63.099998,63.099998,1830400
2017-06-22,63.060001,63.945000,61.919998,63.580002,63.580002,1315700
2017-06-23,63.599998,67.180000,63.349998,65.870003,65.870003,2987900
2017-06-26,65.010002,65.010002,60.764999,61.590000,61.590000,4653100
2017-06-27,61.299999,62.229000,58.268002,58.439999,58.439999,2748300
2017-06-28,59.619999,61.189999,58.000000,61.000000,61.000000,1986100
2017-06-29,60.160000,60.854000,58.770000,60.000000,60.000000,1379000
2017-06-30,61.740002,63.619999,60.430000,61.790001,61.790001,2414000
2017-07-03,62.410000,63.750000,61.040001,61.389999,61.389999,970600
2017-07-05,61.650002,62.599998,60.200001,60.619999,60.619999,1480200
2017-07-06,59.700001,62.817001,59.150002,61.470001,61.470001,1540700
2017-07-07,62.119999,68.379997,62.119999,67.300003,67.300003,3757800
2017-07-10,67.389999,69.050003,64.790001,68.639999,68.639999,2811200
2017-07-11,68.500000,71.000000,67.800003,70.040001,70.040001,2988400
2017-07-12,70.550003,72.949997,69.800003,72.639999,72.639999,2641900
2017-07-13,77.050003,79.980003,74.010002,78.040001,78.040001,8239800
2017-07-14,78.000000,86.360001,77.680000,84.199997,84.199997,6861400
2017-07-17,85.769997,85.878998,82.089996,84.180000,84.180000,4192900
2017-07-18,83.500000,91.459999,83.070000,90.180000,90.180000,5531700
2017-07-19,91.800003,95.430000,91.000000,92.540001,92.540001,5879600
2017-07-20,93.199997,95.669998,88.099998,88.800003,88.800003,6140600
2017-07-21,90.480003,91.767998,85.620003,89.949997,89.949997,5134600
2017-07-24,90.629997,97.750000,90.599998,95.629997,95.629997,6768000
2017-07-25,97.690002,97.709999,93.570000,96.800003,96.800003,2911300
2017-07-26,96.000000,99.980003,95.203003,98.760002,98.760002,3394700
2017-07-27,99.589996,103.410004,92.930000,97.820000,97.820000,5875500
2017-07-28,94.820000,99.000000,94.400002,96.639999,96.639999,2629700
2017-07-31,98.199997,98.370003,95.080002,97.489998,97.489998,2091300
2017-08-01,97.660004,100.500000,97.150002,99.610001,99.610001,3135900
2017-08-02,100.000000,101.300003,92.360001,93.500000,93.500000,4473700
2017-08-03,95.470001,98.129997,93.000000,97.989998,97.989998,6711100
2017-08-04,75.000000,75.000000,64.400002,64.599998,64.599998,17035300
2017-08-07,64.139999,73.010002,63.099998,69.690002,69.690002,10880500
2017-08-08,71.750000,74.430000,70.099998,71.199997,71.199997,6353400
2017-08-09,70.230003,71.199997,66.660004,67.470001,67.470001,4086300
2017-08-10,66.669998,66.769997,63.000000,63.549999,63.549999,3461400
2017-08-11,63.610001,66.889999,63.020000,65.839996,65.839996,2857000
2017-08-14,67.820000,69.209999,66.169998,68.919998,68.919998,3258000
2017-08-15,71.070000,71.449997,67.449997,68.180000,68.180000,3691000
2017-08-16,67.879997,68.169998,64.800003,65.790001,65.790001,3373100
2017-08-17,65.000000,66.570000,64.260002,64.510002,64.510002,2047500
2017-08-18,64.160004,65.550003,62.560001,64.099998,64.099998,1952300
2017-08-21,63.930000,64.417999,60.049999,60.599998,60.599998,3114200
2017-08-22,60.939999,62.400002,60.410000,61.020000,61.020000,1934300
2017-08-23,60.290001,64.250000,60.120998,63.509998,63.509998,2280600
2017-08-24,64.790001,64.900002,61.720001,62.389999,62.389999,2697100
2017-08-25,62.380001,62.900002,61.700001,62.299999,62.299999,1011900
2017-08-28,61.840000,62.299999,60.500000,61.250000,61.250000,1468300
2017-08-29,60.029999,63.340000,60.009998,62.689999,62.689999,2719200
